neighborhood,building_class_category,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,sale_price,sale_date,latitude,longitude
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,455 CENTRAL PARK WEST,22B,10025,1.0,,1.0,,,2002.0,1850000.0,2023-10-31,40.7979529,-73.96046259956796
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,455 CENTRAL PARK WEST,23A,10025,1.0,,1.0,,,2002.0,2875000.0,2023-11-30,40.7979529,-73.96046259956796
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,467 CENTRAL PARK WEST,2B,10025,1.0,,1.0,,,1929.0,1350000.0,2024-01-12,40.7985735,-73.95976783333333
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,467 CENTRAL PARK WEST,2E,10025,1.0,,1.0,,,1929.0,790000.0,2023-04-18,40.7985735,-73.95976783333333
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,467 CENTRAL PARK WEST,8F,10025,1.0,,1.0,,,1929.0,1150000.0,2023-03-24,40.7985735,-73.95976783333333
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,467 CENTRAL PARK WEST,16-A,10025,1.0,,1.0,,,1929.0,1980000.0,2024-02-15,40.7985735,-73.95976783333333
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,478 CENTRAL PARK WEST,6A,10025,1.0,,1.0,,,1900.0,2215000.0,2023-03-02,40.7995729,-73.9593929
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,300 CATHEDRAL PARKWAY,5D,10026,1.0,,1.0,,,1989.0,5000.0,2023-09-18,40.8007795,-73.9593039
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,300 WEST 110TH STREET,5E,10026,1.0,,1.0,,,1989.0,775000.0,2024-02-12,40.8007289,-73.9591608
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,300 CATHEDRAL PARKWAY,6D,10026,1.0,,1.0,,,1989.0,366697.0,2023-11-09,40.8007795,-73.9593039
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,300 CATHEDRAL PARKWAY,7E,10026,1.0,,1.0,,,1989.0,525000.0,2023-12-07,40.8007795,-73.9593039
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,300 CATHEDRAL PARKWAY,9B,10026,1.0,,1.0,,,1989.0,825000.0,2024-02-29,40.8007795,-73.9593039
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,300 WEST 110TH STREET,9J,10026,1.0,,1.0,,,1989.0,565000.0,2023-05-31,40.8007289,-73.9591608
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,300 WEST 110TH STREET,10G,10026,1.0,,1.0,,,1989.0,565000.0,2023-10-31,40.8007289,-73.9591608
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,300 WEST 110TH STREET,12E,10026,1.0,,1.0,,,1989.0,925000.0,2024-01-26,40.8007289,-73.9591608
