neighborhood,building_class_category,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,sale_price,sale_date,latitude,longitude,full_address,has_elevator,has_commercial,has_residential,land_to_building_ratio,price_per_square_foot,age_of_property,price_per_unit,price_per_residential_unit,price_per_commercial_unit,price_per_land_square_foot,sale_month,sale_quarter,property_type
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,195 EAST 4TH STREET,,10009,18.0,0.0,18.0,2404.0,8975.0,1913.0,5750000.0,2023-03-22,40.7241535,-73.98418131406896,"195 EAST 4TH STREET, New York, New York 10009",0,0,1,0.26785515320334263,640.6685236768802,111.0,319444.44444444444,319444.44444444444,,2391.846921797005,3,1,residential
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,506 EAST 6 STREET,,10009,14.0,0.0,14.0,2426.0,6825.0,1920.0,5100000.0,2024-01-12,42.4408202,-76.4917266,"506 EAST 6 STREET, New York, New York 10009",0,0,1,0.35545787545787544,747.2527472527472,104.0,364285.71428571426,364285.71428571426,,2102.2258862324816,1,4,residential
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,543 EAST 6 STREET,,10009,8.0,1.0,9.0,1820.0,7083.0,1930.0,3250000.0,2023-07-14,,,"543 EAST 6 STREET, New York, New York 10009",0,1,1,0.25695326838910065,458.84512212339405,94.0,361111.1111111111,406250.0,3250000.0,1785.7142857142858,7,2,mixed-use
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,325 EAST 10TH STREET,,10009,18.0,0.0,18.0,2370.0,11000.0,1900.0,9620000.0,2024-01-30,40.7273715,-73.98072183336237,"325 EAST 10TH STREET, New York, New York 10009",0,0,1,0.21545454545454545,874.5454545454545,124.0,534444.4444444445,534444.4444444445,,4059.071729957806,1,4,residential
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,504 EAST 12TH STREET,,10009,28.0,2.0,30.0,3872.0,15428.0,1930.0,19500000.0,2023-11-08,40.72870475,-73.98097466874913,"504 EAST 12TH STREET, New York, New York 10009",0,1,1,0.25097225823178637,1263.9357013222711,94.0,650000.0,696428.5714285715,9750000.0,5036.157024793389,11,4,mixed-use
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,508 EAST 12TH STREET,,10009,28.0,2.0,30.0,3872.0,15428.0,1930.0,19500000.0,2023-11-08,40.72865715,-73.98083104916375,"508 EAST 12TH STREET, New York, New York 10009",0,1,1,0.25097225823178637,1263.9357013222711,94.0,650000.0,696428.5714285715,9750000.0,5036.157024793389,11,4,mixed-use
ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,315 EAST 10TH STREET,,10009,12.0,0.0,12.0,2369.0,9348.0,1920.0,9067043.0,2023-12-20,40.72755745,-73.98110092014394,"315 EAST 10TH STREET, New York, New York 10009",1,0,1,0.2534231921266581,969.9446940522037,104.0,755586.9166666666,755586.9166666666,,3827.3714647530605,12,4,residential
ALPHABET CITY,14 RENTALS - 4-10 UNIT,13 AVENUE B,,10009,5.0,1.0,6.0,1587.0,6070.0,1920.0,4300000.0,2023-07-13,40.72179225,-73.98334820944856,"13 AVENUE B, New York, New York 10009",0,1,1,0.2614497528830313,708.4019769357496,104.0,716666.6666666666,860000.0,4300000.0,2709.5148078134844,7,2,mixed-use
ALPHABET CITY,14 RENTALS - 4-10 UNIT,32 AVENUE A,,10009,3.0,1.0,4.0,1672.0,4708.0,1960.0,3780000.0,2023-03-09,40.72328515,-73.98522266222469,"32 AVENUE A, New York, New York 10009",0,1,1,0.35514018691588783,802.8887000849618,64.0,945000.0,1260000.0,3780000.0,2260.7655502392345,3,1,mixed-use
ALPHABET CITY,22 STORE BUILDINGS,650 EAST 5TH STREET,,10009,3.0,1.0,4.0,2160.0,3840.0,2000.0,3400000.0,2023-07-13,40.72318416326531,-73.98062091836735,"650 EAST 5TH STREET, New York, New York 10009",0,1,1,0.5625,885.4166666666666,24.0,850000.0,1133333.3333333333,3400000.0,1574.0740740740741,7,2,mixed-use
